upc,name,description,department,department_number,category,manufacturer,brand,is_active,cost,price,vendor,part_num,part_num_units,part_cost,child_upc,num_units
840045200849,ROGUE SPEARMINT 3MG,,,,SMOKELESS TOBACCO > ROGUE > 3 MG,,,,4.4240,4.89,,,,,,
840045201143,ROGUE HONEY LEMON 3 MG,,,,SMOKELESS TOBACCO > ROGUE > 3 MG,,,,4.4240,4.89,,,,,,
840045200900,ROGUE CINNAMON 3 MG,,,,SMOKELESS TOBACCO > ROGUE > 3 MG,,,,4.4240,4.89,,,,,,
840045201082,ROGUE APPLE 3 MG,,,,SMOKELESS TOBACCO > ROGUE > 3 MG,,,,4.4240,4.89,,,,,,
840045201174,ROGUE HONEY LEMON 6 MG,,,,SMOKELESS TOBACCO > ROGUE > CAN,,,,4.4240,4.89,,,,,,
840045201266,ROGUE MANGO 3MG,,,,SMOKELESS TOBACCO > ROGUE > 3 MG,,,,4.4240,4.89,,,,,,
840045200757,ROGUE WINTERGREEN 6 MG,,,,SMOKELESS TOBACCO > ROGUE > CAN,,,,4.4240,4.89,,,,,,
840045200726,ROGUE WINTERGREEN 3MG,,,,SMOKELESS TOBACCO > ROGUE > 3 MG,,,,4.4240,4.89,,,,,,
840045200818,ROGUE BERRY 6MG,,,,SMOKELESS TOBACCO > ROGUE > CAN,,,,4.4240,4.89,,,,,,
840045207657,ROGUE TABAC 6 MG,,,,SMOKELESS TOBACCO > ROGUE > CAN,,,,4.4240,4.89,,,,,,
840045200870,ROGUE SPEARMINT 6MG,,,,SMOKELESS TOBACCO > ROGUE > CAN,,,,4.4240,4.89,,,,,,
840045207084,ROGUE 2 MG PEPPERMINT 20 COUNT,,,,SMOKELESS TOBACCO > ROGUE > GUM,,,,4.6320,5.69,,,,,,
840045207237,ROGUE 4 MG WINTERGREEN 20 COUNT,,,,SMOKELESS TOBACCO > ROGUE > GUM,,,,4.6320,5.69,,,,,,
073100001376,SKOAL FC WINTERGREEN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL REGULAR,,,,6.1040,6.45,,,,,,
073100001482,SKOAL LC WINTERGREEN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL REGULAR,,,,6.1040,6.45,,,,,,
073100000607,SKOAL LC STRAIGHT,,,,SMOKELESS TOBACCO > SKOAL > SKOAL REGULAR,,,,6.1040,6.45,,,,,,
073100000881,SKOAL LC MINT,,,,SMOKELESS TOBACCO > SKOAL > CAN,,,,6.1040,5.95,,,,,,
073100002861,SKOAL LC CHERRY,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,6.1040,5.95,,,,,,
073100001673,SKOAL X-TRA POUCH WINTERGREEN BLEND,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,6.1040,5.95,,,,,,
073100001680,SKOAL X-TRA MINT BLEND,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,6.1040,5.95,,,,,,
073100001703,SKOAL X-TRA LC WINTERGREEN BLEND 1.2 OZ,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,6.1040,6.45,,,,,,
073100002724,SKOAL X-TRA LC MINT BLEND 1.2 OZ,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,6.1040,5.95,,,,,,
073100003196,SKOAL WINTERGREEN POUCHES,,,,SMOKELESS TOBACCO > SKOAL > SKOAL REGULAR,,,,6.1040,5.95,,,,,,
073100001130,HUSKY FC NATURAL 1.2 OZ,,,,SMOKELESS TOBACCO > HUSKY > CAN,,,,2.5740,2.69,,,,,,
073100000270,HUSKY LC STRGHT CAN,,,,SMOKELESS TOBACCO > HUSKY > CAN,,,,2.5740,2.69,,,,,,
073100000263,HUSKY LC MINT CAN,,,,SMOKELESS TOBACCO > HUSKY > CAN,,,,2.5740,2.69,,,,,,
073100001154,HUSKY LC WINTERGREEN 1.2 OZ,,,,SMOKELESS TOBACCO > HUSKY > CAN,,,,2.5740,2.69,,,,,,
073100005916,SKOAL APPLE CAN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,6.1040,5.95,,,,,,
073100005893,SKOAL LC PEACH,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,6.1040,5.95,,,,,,
073100004803,SKOAL LC APPLE BLEND,,,,SMOKELESS TOBACCO > SKOAL > CAN,,,,6.1040,5.95,,,,,,
073100002885,SKOAL LC SPEARMINT,,,,SMOKELESS TOBACCO > SKOAL > CAN,,,,6.1040,5.95,,,,,,
073100001338,W.B. CUT,,,,PLUG TOBACCO > PLUG/TWIST,,,,6.1467,6.45,,,,,,
073100003134,SKOAL LC BERRY BLEND,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,6.1040,5.95,,,,,,
073100000904,SKOAL BANDIT MINT,,,,SMOKELESS TOBACCO > SKOAL > SKOAL BANDITS,,,,6.1040,6.59,,,,,,
073100007699,SKOAL STRAIGHT POUCH,,,,SMOKELESS TOBACCO > SKOAL > CAN,,,,6.1040,5.95,,,,,,
073100001901,SKOAL BANDIT WINTERGREEN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL BANDITS,,,,6.1040,6.59,,,,,,
073100001857,RED SEAL FC WINTERGREEN,,,,SMOKELESS TOBACCO > RED SEAL > CAN,,,,4.8420,5.35,,,,,,
073100004858,SKOAL LC CITRUS BLEND 1.2 OZ,,,,SMOKELESS TOBACCO > SKOAL > CAN,,,,6.1040,5.95,,,,,,
073100004575,SKOAL MINT POUCH,,,,SMOKELESS TOBACCO > SKOAL > SKOAL REGULAR,,,,6.1040,5.95,,,,,,
073100004568,RED SEAL LC MINT,,,,SMOKELESS TOBACCO > RED SEAL > CAN,,,,4.8420,5.35,,,,,,
073100004551,RED SEAL LC NATURAL,,,,SMOKELESS TOBACCO > RED SEAL > CAN,,,,4.8420,5.35,,,,,,
073100001741,RED SEAL FC NATURAL,,,,SMOKELESS TOBACCO > RED SEAL > CAN,,,,4.8420,5.35,,,,,,
073100001734,RED SEAL LC WINTERGREEN,,,,SMOKELESS TOBACCO > RED SEAL > CAN,,,,4.8420,5.35,,,,,,
073100001970,RED SEAL LC STRAIGHT,,,,SMOKELESS TOBACCO > RED SEAL > CAN,,,,4.8420,5.35,,,,,,
073100001079,COPENHAGEN FC ORIGINAL,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGAN REGULAR > COPENHAGEN CAN,,,,5.9340,6.6,,,,,,
073100002649,COPENHAGEN SPITFREE GREEN MINT CAN,,,,SMOKELESS TOBACCO > COPENHAGEN > CAN,,,,5.1440,4.75,,,,,,
073100008764,COPENHAGEN LC WINTERGREEN CAN,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGEN WINT / MINT > COPENHAGEN CAN,,,,5.1440,5.7,,,,,,
073100003141,COPENHAGEN POUCHES,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGAN REGULAR > COPENHAGEN CAN,,,,5.9340,6.6,,,,,,
073100002632,COPENHAGEN BLUE MINT SPITFREE CAN,,,,SMOKELESS TOBACCO > COPENHAGEN > CAN,,,,5.1440,4.75,,,,,,
073100001215,COPENHAGEN LC CAN,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGAN REGULAR > COPENHAGEN CAN,,,,5.9340,6.6,,,,,,
073100000553,COPENHAGEN POUCH WINTERGREEN,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGEN WINT / MINT > COPENHAGEN CAN,,,,5.1440,5.7,,,,,,
073100008825,COPENHAGEN LC STRAIGHT,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGEN WINT / MINT > COPENHAGEN CAN,,,,5.1440,5.7,,,,,,
073100008849,COPENHAGEN EXTRA LC NATURAL,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGEN WINT / MINT > COPENHAGEN CAN,,,,5.1440,5.7,,,,,,
073100002830,COPENHAGEN SOUTHRN BLND LC CAN,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGAN SOUTHEN BLEND > COPENHAGEN SOUTHERN BLEND CAN,,,,5.9340,6.6,,,,,,
073100000362,COPENHAGEN LC MINT,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGEN WINT / MINT > COPENHAGEN CAN,,,,5.1440,5.7,,,,,,
073100000393,COPENHAGEN MINT POUCH,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGEN WINT / MINT > COPENHAGEN CAN,,,,5.1440,5.7,,,,,,
073100000218,COPENHAGEN WINTERGREEN PACKS CAN,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGEN WINT / MINT > COPENHAGEN CAN,,,,5.1440,5.7,,,,,,
073100000034,COPENHAGEN LG BLACK CAN,,,,SMOKELESS TOBACCO > COPENHAGEN > COPENHAGAN REGULAR > COPENHAGEN CAN,,,,5.9340,6.6,,,,,,
073100008900,SKOAL SNUS MINT TINS 15 CT,,,,SNUS > SKOAL > CAN,,,,5.4120,5.8,,,,,,
073100008924,SKOAL SNUS SMOOTH MINT TINS 15 CT,,,,SNUS > SKOAL > CAN,,,,5.4120,5.8,,,,,,
025900405519,SANTA FE FILTERED CIGARS MILD 10/20,,,,LITTLE CIGARS > SANTA FE > CIGAR PACKS,,,,1.6840,2.19,,,,,,
025900405502,SANTA FE FILTERED CIGARS ORIG 10/20,,,,LITTLE CIGARS > SANTA FE > CIGAR PACKS,,,,1.6840,2.19,,,,,,
025900205935,SWISH LIL CIGAR GRAPE 10/20,,,,LITTLE CIGARS > SWISHER > CIGAR PACKS,,,,4.6060,4.39,,,,,,
025900202712,SWISH LIL CIGAR ORIGINAL 10/20,,,,LITTLE CIGARS > SWISHER > CIGAR PACKS,,,,4.6060,4.39,,,,,,
025900202811,SWISH LIL CIGAR MILD 10/20,,,,LITTLE CIGARS > SWISHER > CIGAR PACKS,,,,4.6060,4.39,,,,,,
025900205591,SWISHER FILTER CIGARS SLIDE ORIG 10/16,,,,LITTLE CIGARS > SWISHER > CIGAR PACKS,,,,2.5270,2.89,,,,,,
